,name,url,promoted_content,query,tweet_volume
0,Bond,http://twitter.com/search?q=Bond,,Bond,39420.0
1,Michael Jackson,http://twitter.com/search?q=%22Michael+Jackson%22,,%22Michael+Jackson%22,70350.0
2,Coldplay,http://twitter.com/search?q=Coldplay,,Coldplay,22618.0
3,Austin Butler,http://twitter.com/search?q=%22Austin+Butler%22,,%22Austin+Butler%22,
4,Ed Sheeran,http://twitter.com/search?q=%22Ed+Sheeran%22,,%22Ed+Sheeran%22,
5,Ronaldo,http://twitter.com/search?q=Ronaldo,,Ronaldo,124528.0
6,The Thing,http://twitter.com/search?q=%22The+Thing%22,,%22The+Thing%22,673406.0
7,Paul McCartney,http://twitter.com/search?q=%22Paul+McCartney%22,,%22Paul+McCartney%22,28809.0
8,Macca,http://twitter.com/search?q=Macca,,Macca,14118.0
9,Dave Grohl,http://twitter.com/search?q=%22Dave+Grohl%22,,%22Dave+Grohl%22,
10,Beatles,http://twitter.com/search?q=Beatles,,Beatles,18656.0
11,Golden Slumbers,http://twitter.com/search?q=%22Golden+Slumbers%22,,%22Golden+Slumbers%22,
12,Helter Skelter,http://twitter.com/search?q=%22Helter+Skelter%22,,%22Helter+Skelter%22,
13,John Lennon,http://twitter.com/search?q=%22John+Lennon%22,,%22John+Lennon%22,
14,Ringo,http://twitter.com/search?q=Ringo,,Ringo,24180.0
15,Live and Let Die,http://twitter.com/search?q=%22Live+and+Let+Die%22,,%22Live+and+Let+Die%22,
16,He's 80,http://twitter.com/search?q=%22He%27s+80%22,,%22He%27s+80%22,
17,Jamie T,http://twitter.com/search?q=%22Jamie+T%22,,%22Jamie+T%22,
18,#UFCVegas57,http://twitter.com/search?q=%23UFCVegas57,,%23UFCVegas57,14125.0
19,glory days,http://twitter.com/search?q=%22glory+days%22,,%22glory+days%22,
20,Noel Gallagher,http://twitter.com/search?q=%22Noel+Gallagher%22,,%22Noel+Gallagher%22,
21,Get Back,http://twitter.com/search?q=%22Get+Back%22,,%22Get+Back%22,175185.0
22,Abbey Road,http://twitter.com/search?q=%22Abbey+Road%22,,%22Abbey+Road%22,
23,Frog Chorus,http://twitter.com/search?q=%22Frog+Chorus%22,,%22Frog+Chorus%22,
24,Wings,http://twitter.com/search?q=Wings,,Wings,41775.0
25,Daily Quordle 153,http://twitter.com/search?q=%22Daily+Quordle+153%22,,%22Daily+Quordle+153%22,
26,Blackbird,http://twitter.com/search?q=Blackbird,,Blackbird,
27,#legend,http://twitter.com/search?q=%23legend,,%23legend,
28,Amazed,http://twitter.com/search?q=Amazed,,Amazed,18306.0
29,Oasis,http://twitter.com/search?q=Oasis,,Oasis,13832.0
30,Megan Thee Stallion,http://twitter.com/search?q=%22Megan+Thee+Stallion%22,,%22Megan+Thee+Stallion%22,
31,The End,http://twitter.com/search?q=%22The+End%22,,%22The+End%22,646994.0
32,Band,http://twitter.com/search?q=Band,,Band,109156.0
33,here today,http://twitter.com/search?q=%22here+today%22,,%22here+today%22,107110.0
34,love me do,http://twitter.com/search?q=%22love+me+do%22,,%22love+me+do%22,27760.0
35,George Harrison,http://twitter.com/search?q=%22George+Harrison%22,,%22George+Harrison%22,
36,ABBA,http://twitter.com/search?q=ABBA,,ABBA,
37,Mull of Kintyre,http://twitter.com/search?q=%22Mull+of+Kintyre%22,,%22Mull+of+Kintyre%22,
38,At 80,http://twitter.com/search?q=%22At+80%22,,%22At+80%22,16583.0
39,#VentWithKb,http://twitter.com/search?q=%23VentWithKb,,%23VentWithKb,89348.0
40,Carry That Weight,http://twitter.com/search?q=%22Carry+That+Weight%22,,%22Carry+That+Weight%22,
41,Lady Madonna,http://twitter.com/search?q=%22Lady+Madonna%22,,%22Lady+Madonna%22,
42,Roisin Murphy,http://twitter.com/search?q=%22Roisin+Murphy%22,,%22Roisin+Murphy%22,
43,Jessie Ware,http://twitter.com/search?q=%22Jessie+Ware%22,,%22Jessie+Ware%22,
44,I Saw Her Standing There,http://twitter.com/search?q=%22I+Saw+Her+Standing+There%22,,%22I+Saw+Her+Standing+There%22,
45,Mr Kite,http://twitter.com/search?q=%22Mr+Kite%22,,%22Mr+Kite%22,
46,iPlayer,http://twitter.com/search?q=iPlayer,,iPlayer,
47,Happy Birthday Steve,http://twitter.com/search?q=%22Happy+Birthday+Steve%22,,%22Happy+Birthday+Steve%22,
48,john and george,http://twitter.com/search?q=%22john+and+george%22,,%22john+and+george%22,
