,name,url,promoted_content,query,tweet_volume
0,#VentWithKb,http://twitter.com/search?q=%23VentWithKb,,%23VentWithKb,89348.0
1,Edwin Diaz,http://twitter.com/search?q=%22Edwin+Diaz%22,,%22Edwin+Diaz%22,
2,Pete Alonso,http://twitter.com/search?q=%22Pete+Alonso%22,,%22Pete+Alonso%22,
3,#Pride2022,http://twitter.com/search?q=%23Pride2022,,%23Pride2022,67796.0
4,The Bible,http://twitter.com/search?q=%22The+Bible%22,,%22The+Bible%22,134867.0
5,Ole Miss,http://twitter.com/search?q=%22Ole+Miss%22,,%22Ole+Miss%22,
6,#UFCVegas57,http://twitter.com/search?q=%23UFCVegas57,,%23UFCVegas57,14125.0
7,White Life,http://twitter.com/search?q=%22White+Life%22,,%22White+Life%22,65745.0
8,Will Smith,http://twitter.com/search?q=%22Will+Smith%22,,%22Will+Smith%22,12113.0
9,#LAMH,http://twitter.com/search?q=%23LAMH,,%23LAMH,
10,#USWNT,http://twitter.com/search?q=%23USWNT,,%23USWNT,
11,Graterol,http://twitter.com/search?q=Graterol,,Graterol,
12,Freudian,http://twitter.com/search?q=Freudian,,Freudian,
13,Max Fried,http://twitter.com/search?q=%22Max+Fried%22,,%22Max+Fried%22,
14,J Boog,http://twitter.com/search?q=%22J+Boog%22,,%22J+Boog%22,
15,BACK TO BACK TO BACK,http://twitter.com/search?q=%22BACK+TO+BACK+TO+BACK%22,,%22BACK+TO+BACK+TO+BACK%22,1156647.0
16,Ozuna,http://twitter.com/search?q=Ozuna,,Ozuna,
17,paiva,http://twitter.com/search?q=paiva,,paiva,
18,Tony Stewart,http://twitter.com/search?q=%22Tony+Stewart%22,,%22Tony+Stewart%22,
19,Mary Miller,http://twitter.com/search?q=%22Mary+Miller%22,,%22Mary+Miller%22,11147.0
20,Minter,http://twitter.com/search?q=Minter,,Minter,
21,Fizz,http://twitter.com/search?q=Fizz,,Fizz,
22,Sophia Smith,http://twitter.com/search?q=%22Sophia+Smith%22,,%22Sophia+Smith%22,
23,Diego Luna,http://twitter.com/search?q=%22Diego+Luna%22,,%22Diego+Luna%22,
24,Chicago Wolves,http://twitter.com/search?q=%22Chicago+Wolves%22,,%22Chicago+Wolves%22,
25,Ulberg,http://twitter.com/search?q=Ulberg,,Ulberg,
26,Pentagon,http://twitter.com/search?q=Pentagon,,Pentagon,38363.0
27,Morozov,http://twitter.com/search?q=Morozov,,Morozov,
28,tj brown,http://twitter.com/search?q=%22tj+brown%22,,%22tj+brown%22,
29,Justin Turner,http://twitter.com/search?q=%22Justin+Turner%22,,%22Justin+Turner%22,
30,Rios,http://twitter.com/search?q=Rios,,Rios,20225.0
31,TJ McCants,http://twitter.com/search?q=%22TJ+McCants%22,,%22TJ+McCants%22,
32,Alberto,http://twitter.com/search?q=Alberto,,Alberto,51768.0
33,Calder Cup,http://twitter.com/search?q=%22Calder+Cup%22,,%22Calder+Cup%22,
34,Dansby,http://twitter.com/search?q=Dansby,,Dansby,
35,Mason Nichols,http://twitter.com/search?q=%22Mason+Nichols%22,,%22Mason+Nichols%22,
36,Chubb,http://twitter.com/search?q=Chubb,,Chubb,
37,Tisha,http://twitter.com/search?q=Tisha,,Tisha,
38,McCaskill,http://twitter.com/search?q=McCaskill,,McCaskill,
39,David Price,http://twitter.com/search?q=%22David+Price%22,,%22David+Price%22,
40,Horan,http://twitter.com/search?q=Horan,,Horan,
41,Yankees,http://twitter.com/search?q=Yankees,,Yankees,61880.0
42,Rose Lavelle,http://twitter.com/search?q=%22Rose+Lavelle%22,,%22Rose+Lavelle%22,
43,Paul Tracy,http://twitter.com/search?q=%22Paul+Tracy%22,,%22Paul+Tracy%22,
44,Human Nature,http://twitter.com/search?q=%22Human+Nature%22,,%22Human+Nature%22,
45,Mike Minor,http://twitter.com/search?q=%22Mike+Minor%22,,%22Mike+Minor%22,
46,Marsau,http://twitter.com/search?q=Marsau,,Marsau,
47,Tim Elko,http://twitter.com/search?q=%22Tim+Elko%22,,%22Tim+Elko%22,
48,Jack Dougherty,http://twitter.com/search?q=%22Jack+Dougherty%22,,%22Jack+Dougherty%22,
49,Freddie,http://twitter.com/search?q=Freddie,,Freddie,17381.0
